fault_id,node_id,visit_id,visit_date:,original_reported_date,node_age,node_type,fault_type,engineer_skill_level,engineer_note,outcome
FAULT198,NODE115,1,2020-05-19 00:00:00,2020-05-08 00:00:00,20,TYPE3,FAULT5,LEVEL1,114 173 80 95 10 79 165 93 84 194 115 143 11 78 136,FAIL
FAULT1683,NODE206,2,2020-05-17 00:00:00,2020-04-25 00:00:00,1,TYPE2,FAULT2,LEVEL3,59 82 85 127 47 19,SUCCESS
FAULT5487,NODE275,1,2020-01-17 00:00:00,2020-01-04 00:00:00,16,TYPE1,FAULT5,LEVEL5,191 118 117 116 46 108 4 92 8 5 168,FAIL
FAULT3965,NODE165,2,2020-02-29 00:00:00,2020-02-08 00:00:00,7,TYPE3,FAULT3,LEVEL1,91 70 172 142 134 197 203,FAIL
FAULT3493,NODE198,0,2020-05-10 00:00:00,2020-05-07 00:00:00,0,TYPE5,FAULT1,LEVEL1,157 118 192 1 186 99 120 23 78 143 183 139 98,FAIL
FAULT2739,NODE45,0,2020-05-17 00:00:00,2020-05-07 00:00:00,1,TYPE1,FAULT8,LEVEL4,13 167 4 42 26,FAIL
FAULT4069,NODE40,0,2020-05-28 00:00:00,2020-05-23 00:00:00,5,TYPE1,FAULT3,LEVEL4,12 53 159 105 80 28 156,FAIL
FAULT8077,NODE385,1,2020-03-27 00:00:00,2020-03-23 00:00:00,15,TYPE5,FAULT8,LEVEL4,29 178 177 127 0 157 7 94 200,FAIL
FAULT207,NODE437,1,2020-02-03 00:00:00,2020-01-19 00:00:00,2,TYPE2,FAULT2,LEVEL3,96 5 182 100 50 142 162,SUCCESS
FAULT1080,NODE310,0,2020-11-25 00:00:00,2020-11-16 00:00:00,15,TYPE1,FAULT9,LEVEL5,192 59 157 86 11,SUCCESS
FAULT8549,NODE306,1,2020-02-29 00:00:00,2020-02-19 00:00:00,19,TYPE3,FAULT8,LEVEL3,122 65 186 99 201 79 203,FAIL
FAULT570,NODE333,1,2020-12-06 00:00:00,2020-11-23 00:00:00,12,TYPE3,FAULT3,LEVEL1,49 8 78 180 166 37,FAIL
FAULT4156,NODE483,1,2020-11-06 00:00:00,2020-11-03 00:00:00,11,TYPE4,FAULT4,LEVEL1,10 197 173 0 122 124 91 104,FAIL
FAULT8383,NODE386,0,2020-09-15 00:00:00,2020-09-08 00:00:00,2,TYPE3,FAULT9,LEVEL5,48 3 188 150 201 39 30 126 88 148 38 128 203,SUCCESS
FAULT1818,NODE453,1,2020-01-30 00:00:00,2020-01-16 00:00:00,12,TYPE5,FAULT2,LEVEL5,24 58 139 129 158 28 162 30 94,FAIL
FAULT3707,NODE243,0,2020-03-02 00:00:00,2020-02-25 00:00:00,3,TYPE3,FAULT6,LEVEL2,63 131 157 6 140 106 105 200 193 72 147 189 127,SUCCESS
FAULT702,NODE446,0,2020-06-30 00:00:00,2020-06-22 00:00:00,16,TYPE1,FAULT8,LEVEL5,61 160 103 112 192 147 155 201 64 172 76 203,SUCCESS
FAULT1362,NODE287,1,2021-01-02 00:00:00,2020-12-20 00:00:00,5,TYPE3,FAULT3,LEVEL4,165 72 78 138 174 201,SUCCESS
FAULT8202,NODE80,0,2020-02-21 00:00:00,2020-02-16 00:00:00,7,TYPE1,FAULT7,LEVEL2,8 122 150 199 5 71 106 203,FAIL
FAULT8642,NODE431,0,2020-01-05 00:00:00,2020-01-01 00:00:00,2,TYPE3,FAULT1,LEVEL3,3 200 32 103 24 190 9 154 69,FAIL
FAULT8517,NODE345,0,2020-05-09 00:00:00,2020-05-03 00:00:00,9,TYPE4,FAULT9,LEVEL1,128 150 161 143 136 96 49 191 95 14,FAIL
FAULT5110,NODE428,1,2020-06-06 00:00:00,2020-05-21 00:00:00,10,TYPE4,FAULT8,LEVEL1,144 124 153 175 58 142 200,FAIL
FAULT1294,NODE107,0,2020-04-23 00:00:00,2020-04-22 00:00:00,8,TYPE4,FAULT5,LEVEL2,104 70 176 84 105 122 60 116 150 25 130 89,SUCCESS
FAULT6901,NODE134,0,2020-06-27 00:00:00,2020-06-17 00:00:00,17,TYPE3,FAULT9,LEVEL4,200 5 39 166 102 175,SUCCESS
FAULT7376,NODE499,2,2020-08-31 00:00:00,2020-08-10 00:00:00,11,TYPE1,FAULT8,LEVEL5,97 141 3 69 173 61 188 47 190 38 48,SUCCESS
FAULT9603,NODE150,0,2020-08-15 00:00:00,2020-08-14 00:00:00,19,TYPE4,FAULT2,LEVEL5,10 64 73 69 131 169,SUCCESS
FAULT577,NODE340,0,2020-03-22 00:00:00,2020-03-20 00:00:00,0,TYPE3,FAULT4,LEVEL2,169 203 189 186 102 95 120,FAIL
FAULT383,NODE391,0,2020-07-27 00:00:00,2020-07-21 00:00:00,11,TYPE5,FAULT2,LEVEL3,7 74 120 107 6 14 194 174 8 37 68 179 20 185 27,SUCCESS
FAULT2428,NODE65,0,2020-01-22 00:00:00,2020-01-21 00:00:00,7,TYPE2,FAULT5,LEVEL1,51 155 69 13 24 55 172,FAIL
FAULT3868,NODE419,2,2020-03-14 00:00:00,2020-03-04 00:00:00,7,TYPE2,FAULT5,LEVEL1,97 2 4,SUCCESS
FAULT3520,NODE17,1,2020-10-17 00:00:00,2020-10-09 00:00:00,18,TYPE2,FAULT5,LEVEL1,148 108 116 5 91 203 199 202 198,FAIL
FAULT8709,NODE41,3,2020-07-07 00:00:00,2020-06-13 00:00:00,3,TYPE5,FAULT6,LEVEL5,156 7 28 158 202,SUCCESS
FAULT7212,NODE116,2,2020-10-22 00:00:00,2020-10-04 00:00:00,12,TYPE5,FAULT4,LEVEL4,100 195 13 7 66 137 132,SUCCESS
FAULT1534,NODE245,0,2020-09-13 00:00:00,2020-09-12 00:00:00,15,TYPE5,FAULT5,LEVEL5,25 79 202 177 147 108 154 74 193 13 26,SUCCESS
FAULT7837,NODE460,0,2020-10-16 00:00:00,2020-10-11 00:00:00,4,TYPE5,FAULT2,LEVEL1,41 145 48 11 108 29 65 53 50 191,SUCCESS
FAULT2459,NODE475,0,2020-06-04 00:00:00,2020-06-01 00:00:00,15,TYPE3,FAULT5,LEVEL2,42 68 52 116 165 190 10 18 170,SUCCESS
FAULT176,NODE226,0,2020-06-11 00:00:00,2020-06-01 00:00:00,10,TYPE5,FAULT6,LEVEL2,54 18 68 50,SUCCESS
FAULT4361,NODE281,0,2020-10-20 00:00:00,2020-10-19 00:00:00,14,TYPE1,FAULT9,LEVEL3,114 89 179 88 78 90 104 86 14 10 35 203,SUCCESS
FAULT2437,NODE347,0,2020-06-27 00:00:00,2020-06-19 00:00:00,8,TYPE5,FAULT1,LEVEL5,38 190 34 169 129 200,FAIL
FAULT3381,NODE192,0,2020-03-28 00:00:00,2020-03-24 00:00:00,15,TYPE2,FAULT8,LEVEL5,200 89 53 172 104 146 115 151 123 72 58 158 76 121 91,FAIL
FAULT8372,NODE492,0,2020-09-23 00:00:00,2020-09-13 00:00:00,1,TYPE2,FAULT8,LEVEL2,120 193 7 12 67 33 61 42 8 65 76 71 177,SUCCESS
FAULT6102,NODE3,1,2020-04-25 00:00:00,2020-04-14 00:00:00,14,TYPE4,FAULT1,LEVEL3,139 190 155 63 138 125 58 36,SUCCESS
FAULT3922,NODE75,1,2020-09-29 00:00:00,2020-09-14 00:00:00,2,TYPE2,FAULT7,LEVEL2,33 203 44 193 114 134 151 84 152 64 23 100 146,SUCCESS
FAULT7375,NODE101,2,2020-02-01 00:00:00,2020-01-20 00:00:00,12,TYPE1,FAULT6,LEVEL2,104 56 178 179 41 146 61 197 36 190 44 77 76,FAIL
FAULT1768,NODE244,1,2020-08-28 00:00:00,2020-08-15 00:00:00,0,TYPE4,FAULT2,LEVEL2,201 128 35 139 117 62 156 116 162 131 65 94,SUCCESS
FAULT1327,NODE33,0,2020-01-07 00:00:00,2020-01-01 00:00:00,3,TYPE2,FAULT2,LEVEL2,7 166 76 143 6 60,FAIL
FAULT7677,NODE262,0,2020-03-16 00:00:00,2020-03-10 00:00:00,1,TYPE3,FAULT1,LEVEL1,18 158 13 169 53 129 49 6,SUCCESS
FAULT397,NODE244,2,2020-08-28 00:00:00,2020-08-09 00:00:00,9,TYPE3,FAULT1,LEVEL1,42 48 76 122 198 86 142 40 26 62 58 114 200 197 11,FAIL
FAULT7848,NODE36,0,2020-12-17 00:00:00,2020-12-16 00:00:00,9,TYPE1,FAULT1,LEVEL2,96 38 151 179 171 42 145 91 110 74 18 182 137 19,SUCCESS
FAULT9539,NODE362,1,2020-02-11 00:00:00,2020-02-02 00:00:00,9,TYPE1,FAULT8,LEVEL1,202 116 117 138 103 143 104 35 188 108 8 133 141,SUCCESS
FAULT9959,NODE463,0,2020-09-13 00:00:00,2020-09-12 00:00:00,15,TYPE4,FAULT8,LEVEL1,78 4 145 134 153 87 17 111 56 21 103 164 99,FAIL
FAULT6186,NODE440,1,2020-06-17 00:00:00,2020-06-08 00:00:00,13,TYPE5,FAULT2,LEVEL4,12 193 120 112 0,SUCCESS
FAULT9223,NODE425,0,2020-05-29 00:00:00,2020-05-24 00:00:00,3,TYPE2,FAULT5,LEVEL5,53 160 178,SUCCESS
FAULT1020,NODE111,1,2020-04-15 00:00:00,2020-04-05 00:00:00,11,TYPE4,FAULT6,LEVEL4,40 64 160 20 112,FAIL
FAULT6997,NODE31,0,2020-12-21 00:00:00,2020-12-13 00:00:00,15,TYPE3,FAULT8,LEVEL4,138 30 148,FAIL
FAULT701,NODE461,0,2020-02-19 00:00:00,2020-02-16 00:00:00,12,TYPE5,FAULT4,LEVEL5,199 155 91 190 161 178 0 125,FAIL
FAULT3766,NODE293,1,2020-10-17 00:00:00,2020-10-09 00:00:00,13,TYPE1,FAULT4,LEVEL4,16 130 45 183 31 61 147 149 152 72,FAIL
FAULT2204,NODE454,2,2020-09-30 00:00:00,2020-09-15 00:00:00,20,TYPE4,FAULT1,LEVEL3,141 110 89 125 195 40 73,SUCCESS
FAULT2435,NODE53,2,2020-05-03 00:00:00,2020-04-15 00:00:00,14,TYPE1,FAULT6,LEVEL5,95 139 201 172 16 163 179 27 150 115 200,FAIL
FAULT1340,NODE301,0,2020-02-07 00:00:00,2020-02-05 00:00:00,1,TYPE5,FAULT6,LEVEL1,145 50 165 80 84 74 171 93 98 129 108,SUCCESS
FAULT8051,NODE441,0,2020-09-21 00:00:00,2020-09-14 00:00:00,15,TYPE2,FAULT7,LEVEL5,3 145 51,SUCCESS
FAULT1144,NODE275,1,2020-05-26 00:00:00,2020-05-17 00:00:00,6,TYPE3,FAULT9,LEVEL4,183 51 202,SUCCESS
FAULT6163,NODE309,0,2020-07-27 00:00:00,2020-07-17 00:00:00,11,TYPE3,FAULT5,LEVEL3,40 5 90 147 78 104 201 136 194 181 186 132 65 193,FAIL
FAULT9285,NODE60,0,2020-12-12 00:00:00,2020-12-09 00:00:00,1,TYPE5,FAULT9,LEVEL5,91 97 190 168 131 195 96 71 80 182 156 104 169 177 21,FAIL
FAULT2382,NODE263,2,2020-03-12 00:00:00,2020-02-24 00:00:00,2,TYPE5,FAULT9,LEVEL5,192 146 171 198,SUCCESS
FAULT8766,NODE13,0,2020-10-04 00:00:00,2020-09-24 00:00:00,18,TYPE2,FAULT6,LEVEL4,202 0 34 7 117 177 61 156 40 181 99 110 169,FAIL
FAULT6266,NODE80,3,2020-07-09 00:00:00,2020-06-22 00:00:00,6,TYPE1,FAULT9,LEVEL1,192 112 149 196 60 55 121 200,SUCCESS
FAULT2429,NODE220,0,2020-01-15 00:00:00,2020-01-12 00:00:00,19,TYPE4,FAULT2,LEVEL1,106 160 49 34 64 195 126 88 91 178 85 181,FAIL
FAULT2584,NODE403,0,2020-01-09 00:00:00,2020-01-01 00:00:00,1,TYPE4,FAULT4,LEVEL1,10 24 63 187 51 106,FAIL
FAULT2777,NODE332,3,2020-12-13 00:00:00,2020-11-23 00:00:00,13,TYPE2,FAULT6,LEVEL4,52 16 147 156 146 132 101 181,SUCCESS
FAULT5857,NODE358,0,2020-05-29 00:00:00,2020-05-20 00:00:00,16,TYPE5,FAULT7,LEVEL4,9 26 140 57 180 147 98 19 178 173 82 81 109 136 64,FAIL
FAULT6120,NODE90,0,2020-09-16 00:00:00,2020-09-08 00:00:00,2,TYPE2,FAULT7,LEVEL2,19 37 123 84 90 83 88 125 186 53 163,FAIL
FAULT7283,NODE333,0,2020-11-25 00:00:00,2020-11-19 00:00:00,19,TYPE5,FAULT8,LEVEL2,97 3 167 147,SUCCESS
FAULT5351,NODE330,0,2020-04-04 00:00:00,2020-04-02 00:00:00,4,TYPE3,FAULT7,LEVEL2,38 79 68 118 10 41 53 25 19 107 32 80,SUCCESS
FAULT1133,NODE464,0,2020-12-14 00:00:00,2020-12-04 00:00:00,16,TYPE5,FAULT7,LEVEL2,198 17 142 89 136 96 140 157 202,FAIL
FAULT5692,NODE275,1,2020-09-23 00:00:00,2020-09-09 00:00:00,1,TYPE3,FAULT7,LEVEL4,103 121 75 81 107 163 149 162 123 128 47 183 158 4,SUCCESS
FAULT8334,NODE26,1,2020-01-28 00:00:00,2020-01-24 00:00:00,20,TYPE5,FAULT8,LEVEL4,76 56 134 59 122 165 28 200,SUCCESS
FAULT3302,NODE157,0,2020-10-10 00:00:00,2020-10-08 00:00:00,17,TYPE5,FAULT8,LEVEL1,21 166 130 80 126 55,FAIL
FAULT3743,NODE117,0,2020-11-03 00:00:00,2020-11-02 00:00:00,17,TYPE2,FAULT1,LEVEL4,142 52 148 85 120 126 74 9 106 75 6 168 37 17 136,FAIL
FAULT4327,NODE260,3,2020-07-07 00:00:00,2020-06-23 00:00:00,8,TYPE5,FAULT2,LEVEL2,132 61 35 81 45 102,SUCCESS
FAULT3204,NODE203,1,2020-02-06 00:00:00,2020-01-25 00:00:00,16,TYPE2,FAULT4,LEVEL2,98 93 52 23 22,FAIL
FAULT1824,NODE176,2,2020-12-09 00:00:00,2020-11-19 00:00:00,9,TYPE1,FAULT8,LEVEL4,142 68 55 15 84 83 30 67 108 156 72 192 95 57,SUCCESS
FAULT693,NODE156,1,2020-03-27 00:00:00,2020-03-18 00:00:00,17,TYPE1,FAULT6,LEVEL3,197 145 25 160 157 77 70 200,FAIL
FAULT6561,NODE106,0,2020-08-30 00:00:00,2020-08-23 00:00:00,4,TYPE4,FAULT2,LEVEL4,85 98 18 13,FAIL
FAULT7224,NODE399,0,2020-07-20 00:00:00,2020-07-17 00:00:00,20,TYPE1,FAULT5,LEVEL5,31 133 143 16 88 162,SUCCESS
FAULT8214,NODE40,0,2020-01-25 00:00:00,2020-01-23 00:00:00,12,TYPE5,FAULT3,LEVEL3,107 123 124,FAIL
FAULT2053,NODE437,0,2020-10-16 00:00:00,2020-10-09 00:00:00,13,TYPE4,FAULT3,LEVEL1,93 48 90 4 8 176 105 102 109 111 134 73 38 153 30,FAIL
FAULT3204,NODE203,4,2020-02-29 00:00:00,2020-01-25 00:00:00,16,TYPE2,FAULT4,LEVEL5,185 150 15 43 141 96 73 80 67 139 190 65 174 54,SUCCESS
FAULT8618,NODE47,3,2020-11-26 00:00:00,2020-11-06 00:00:00,16,TYPE4,FAULT6,LEVEL2,131 52 138 202,SUCCESS
FAULT9510,NODE357,0,2020-11-13 00:00:00,2020-11-07 00:00:00,1,TYPE2,FAULT2,LEVEL1,44 125 112 49 156 28 106,SUCCESS
FAULT8405,NODE8,0,2020-11-23 00:00:00,2020-11-17 00:00:00,1,TYPE5,FAULT4,LEVEL1,94 176 50 134 111 88 178 162 159 91 5 142 49 109,FAIL
FAULT7619,NODE10,0,2020-07-28 00:00:00,2020-07-24 00:00:00,8,TYPE4,FAULT4,LEVEL1,179 149 71 99 201,FAIL
FAULT4993,NODE102,1,2020-12-27 00:00:00,2020-12-19 00:00:00,19,TYPE1,FAULT2,LEVEL3,24 43 98 23 104 6 185 20 127 35 189,FAIL
FAULT8781,NODE81,3,2020-11-09 00:00:00,2020-10-16 00:00:00,20,TYPE2,FAULT1,LEVEL2,94 85 122 95 102 141 7 124 75 148 118 200,FAIL
FAULT5598,NODE286,0,2020-03-15 00:00:00,2020-03-11 00:00:00,6,TYPE3,FAULT3,LEVEL4,91 194 114 167 134 173 151 170 120 145 96 57 137,FAIL
FAULT1950,NODE335,1,2020-08-11 00:00:00,2020-08-02 00:00:00,17,TYPE4,FAULT5,LEVEL4,26 114 161 141 165 162 81 121 202,SUCCESS
FAULT611,NODE137,0,2020-12-07 00:00:00,2020-12-02 00:00:00,10,TYPE3,FAULT6,LEVEL1,120 109 85 23 32,SUCCESS
FAULT2786,NODE136,0,2020-10-26 00:00:00,2020-10-19 00:00:00,15,TYPE3,FAULT4,LEVEL3,45 150 77,FAIL
FAULT5163,NODE419,0,2020-10-15 00:00:00,2020-10-14 00:00:00,12,TYPE2,FAULT1,LEVEL4,191 150 199 121 145 15 183 68 30,SUCCESS
FAULT8754,NODE160,0,2020-09-26 00:00:00,2020-09-16 00:00:00,18,TYPE4,FAULT4,LEVEL1,53 67 60 12 93 95 97 135 191 65 14 177 72 143 13,FAIL
FAULT2139,NODE218,1,2020-01-21 00:00:00,2020-01-11 00:00:00,20,TYPE5,FAULT7,LEVEL4,140 179 105 70 170 29 158 115 88 36 94 17 163,SUCCESS
FAULT3953,NODE322,1,2020-12-02 00:00:00,2020-11-24 00:00:00,1,TYPE4,FAULT8,LEVEL4,155 109 5 107,FAIL
FAULT8568,NODE252,2,2020-01-29 00:00:00,2020-01-09 00:00:00,17,TYPE5,FAULT4,LEVEL3,153 54 76 75 151 88 195 91 16 55 57 163 71 85 17,FAIL
FAULT7375,NODE101,0,2020-01-24 00:00:00,2020-01-20 00:00:00,12,TYPE1,FAULT6,LEVEL4,189 63 118 163 91 74 156 181 134 90 192,FAIL
FAULT3665,NODE495,0,2020-07-10 00:00:00,2020-07-09 00:00:00,9,TYPE1,FAULT3,LEVEL5,197 180 20 71 127 201,FAIL
FAULT2441,NODE158,0,2020-08-17 00:00:00,2020-08-07 00:00:00,2,TYPE1,FAULT6,LEVEL4,119 109 131 169 165 20 66 95 8 17 171,SUCCESS
FAULT1256,NODE191,0,2020-09-14 00:00:00,2020-09-06 00:00:00,7,TYPE2,FAULT9,LEVEL5,76 197 55 189 41 34 99 132 54 6 95,SUCCESS
FAULT2555,NODE375,0,2020-12-26 00:00:00,2020-12-24 00:00:00,15,TYPE1,FAULT8,LEVEL4,14 28 117,FAIL
FAULT8569,NODE326,0,2020-02-01 00:00:00,2020-01-22 00:00:00,1,TYPE5,FAULT8,LEVEL3,93 144 118 11 98 8 40,SUCCESS
FAULT4595,NODE221,0,2020-01-15 00:00:00,2020-01-06 00:00:00,9,TYPE5,FAULT2,LEVEL2,107 189 113 110 99 191 77 30 123 56 202,FAIL
FAULT1685,NODE469,1,2020-02-19 00:00:00,2020-02-06 00:00:00,8,TYPE3,FAULT4,LEVEL1,100 22 59 193 198 67,FAIL
FAULT2070,NODE308,1,2020-02-08 00:00:00,2020-02-04 00:00:00,8,TYPE4,FAULT2,LEVEL2,84 119 115 63 74 156 38,FAIL
FAULT7035,NODE67,0,2020-05-01 00:00:00,2020-04-24 00:00:00,13,TYPE4,FAULT2,LEVEL1,54 29 136 23 198 123 147 38 121 200,SUCCESS
FAULT9991,NODE466,0,2020-12-28 00:00:00,2020-12-21 00:00:00,11,TYPE1,FAULT4,LEVEL2,198 104 178 44 109 160 68 70 167 156 182 58 103 173 85,FAIL
FAULT3177,NODE215,3,2020-08-27 00:00:00,2020-08-02 00:00:00,8,TYPE4,FAULT5,LEVEL5,44 91 84 138 1 116 41 98 131 152,FAIL
FAULT1281,NODE47,0,2020-06-13 00:00:00,2020-06-06 00:00:00,2,TYPE5,FAULT4,LEVEL3,62 117 6 39 85 75 135 5,SUCCESS
FAULT8628,NODE45,0,2020-01-11 00:00:00,2020-01-01 00:00:00,9,TYPE1,FAULT5,LEVEL4,118 125 173 180 19 59 70 191 100 38,FAIL
FAULT7570,NODE65,2,2020-03-05 00:00:00,2020-02-10 00:00:00,12,TYPE3,FAULT2,LEVEL4,18 41 78 77 154 47,FAIL
FAULT997,NODE19,3,2020-02-04 00:00:00,2020-01-22 00:00:00,9,TYPE3,FAULT7,LEVEL2,160 188 15 181 144 66 192,FAIL
FAULT3164,NODE180,2,2020-04-07 00:00:00,2020-03-23 00:00:00,8,TYPE3,FAULT2,LEVEL3,2 61 28 91 121 78 39 55 155 171 177 57,SUCCESS
FAULT2525,NODE234,0,2020-02-18 00:00:00,2020-02-09 00:00:00,14,TYPE4,FAULT5,LEVEL4,156 11 41 69 51 98 62 115 71 119 142 135,SUCCESS
FAULT8461,NODE231,0,2020-09-17 00:00:00,2020-09-07 00:00:00,3,TYPE2,FAULT3,LEVEL3,53 71 199 36 91 202 93 70 147 195 202,FAIL
FAULT8109,NODE198,1,2020-09-30 00:00:00,2020-09-24 00:00:00,13,TYPE4,FAULT6,LEVEL4,118 152 116 42 164 12 105 19 44 7 177 184 92 181 187 200,SUCCESS
FAULT2806,NODE410,1,2020-12-24 00:00:00,2020-12-19 00:00:00,4,TYPE2,FAULT5,LEVEL4,54 193 58 121,SUCCESS
FAULT7666,NODE190,1,2020-02-18 00:00:00,2020-02-03 00:00:00,10,TYPE5,FAULT4,LEVEL5,18 8 134 64 0 168 173 46 11 157 91 22 96 6,SUCCESS
FAULT3326,NODE81,0,2020-01-09 00:00:00,2020-01-04 00:00:00,17,TYPE2,FAULT4,LEVEL3,41 37 54 144 175 100 21 51 60 162,FAIL
FAULT9596,NODE226,0,2020-09-19 00:00:00,2020-09-14 00:00:00,2,TYPE5,FAULT5,LEVEL3,135 44 116 77 117 21 72 96,SUCCESS
FAULT3378,NODE131,1,2020-09-22 00:00:00,2020-09-05 00:00:00,4,TYPE1,FAULT6,LEVEL2,149 59 94,FAIL
FAULT7581,NODE201,0,2020-02-28 00:00:00,2020-02-19 00:00:00,18,TYPE4,FAULT9,LEVEL2,4 132 185 65 140 53,FAIL
FAULT7046,NODE346,1,2020-12-04 00:00:00,2020-11-21 00:00:00,19,TYPE4,FAULT5,LEVEL4,59 91 124 30,FAIL
FAULT6191,NODE358,0,2020-10-04 00:00:00,2020-10-02 00:00:00,14,TYPE3,FAULT4,LEVEL3,143 36 125 201,SUCCESS
FAULT6568,NODE130,0,2020-07-26 00:00:00,2020-07-21 00:00:00,5,TYPE3,FAULT6,LEVEL2,62 160 104 79 15 31 124 162 103 190,FAIL
FAULT6134,NODE248,1,2020-04-21 00:00:00,2020-04-02 00:00:00,14,TYPE3,FAULT6,LEVEL1,25 174 106 97 59 42 144 181 62 149 200,SUCCESS
FAULT1836,NODE482,0,2020-01-12 00:00:00,2020-01-02 00:00:00,4,TYPE1,FAULT1,LEVEL2,131 57 152 85 43 104 18 36 182 195 124 96,SUCCESS
FAULT8668,NODE16,1,2020-03-29 00:00:00,2020-03-19 00:00:00,3,TYPE4,FAULT8,LEVEL2,9 181 21 195 69 134,SUCCESS
FAULT5998,NODE56,0,2020-12-22 00:00:00,2020-12-20 00:00:00,0,TYPE2,FAULT8,LEVEL5,88 25 73,SUCCESS
FAULT1128,NODE34,0,2020-01-29 00:00:00,2020-01-22 00:00:00,1,TYPE5,FAULT1,LEVEL5,19 121 2 138 79 21 107 39 101 131 36 141 103 150 203,FAIL
FAULT3350,NODE367,3,2020-06-04 00:00:00,2020-05-16 00:00:00,4,TYPE1,FAULT5,LEVEL2,85 170 25 196 177 115 111 138 18,SUCCESS
FAULT4817,NODE204,0,2020-06-07 00:00:00,2020-06-05 00:00:00,14,TYPE2,FAULT5,LEVEL3,85 109 91 61 202,FAIL
FAULT4349,NODE73,0,2020-05-22 00:00:00,2020-05-12 00:00:00,14,TYPE4,FAULT5,LEVEL2,188 163 15 151 156 115 124,SUCCESS
FAULT6543,NODE136,1,2020-06-28 00:00:00,2020-06-23 00:00:00,18,TYPE4,FAULT5,LEVEL3,191 143 50 189 91 161 163,FAIL
FAULT3267,NODE143,0,2020-06-25 00:00:00,2020-06-22 00:00:00,12,TYPE3,FAULT8,LEVEL3,189 56 114 160 62 111 13 14,SUCCESS
FAULT3550,NODE219,0,2020-05-07 00:00:00,2020-05-03 00:00:00,10,TYPE4,FAULT6,LEVEL4,118 89 37 122,SUCCESS
FAULT9234,NODE375,0,2020-08-19 00:00:00,2020-08-14 00:00:00,13,TYPE3,FAULT1,LEVEL4,177 102 74 107 91 38,SUCCESS
FAULT3515,NODE84,1,2020-12-09 00:00:00,2020-11-25 00:00:00,20,TYPE2,FAULT7,LEVEL4,122 101 28 203 27 6 63 55 0 5 185 178 107 90,SUCCESS
FAULT6616,NODE339,0,2020-02-28 00:00:00,2020-02-20 00:00:00,5,TYPE5,FAULT5,LEVEL3,77 145 91 123 134 184 83 11 60 66 86 179,SUCCESS
FAULT16,NODE93,2,2020-04-03 00:00:00,2020-03-14 00:00:00,11,TYPE2,FAULT6,LEVEL2,62 136 108 28 165 173 189 104 126 101 141 24,SUCCESS
FAULT731,NODE434,2,2020-02-04 00:00:00,2020-01-19 00:00:00,6,TYPE5,FAULT7,LEVEL1,123 177 111 9 24 144,SUCCESS
FAULT6479,NODE47,0,2020-01-13 00:00:00,2020-01-04 00:00:00,11,TYPE3,FAULT9,LEVEL1,91 128 121,SUCCESS
FAULT2629,NODE310,1,2020-11-17 00:00:00,2020-11-13 00:00:00,9,TYPE3,FAULT2,LEVEL2,184 55 28 130 177 63 159 0 176 161 147 189 48 126,SUCCESS
FAULT55,NODE212,0,2020-08-12 00:00:00,2020-08-10 00:00:00,7,TYPE4,FAULT3,LEVEL3,168 13 144 187 75 88 72 28 98 107 10 29,FAIL
